name,info,subfolder,year
DP02_0001E,Estimate!!HOUSEHOLDS BY TYPE!!Total households,DP02,2010
DP02_0001M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Total households,DP02,2010
DP02_0001PE,Percent!!HOUSEHOLDS BY TYPE!!Total households,DP02,2010
DP02_0001PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households,DP02,2010
DP02_0002E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families),DP02,2010
DP02_0002M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families),DP02,2010
DP02_0002PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families),DP02,2010
DP02_0002PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families),DP02,2010
DP02_0003E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,DP02,2010
DP02_0003M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,DP02,2010
DP02_0003PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,DP02,2010
DP02_0003PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,DP02,2010
DP02_0004E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,DP02,2010
DP02_0004M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,DP02,2010
DP02_0004PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,DP02,2010
DP02_0004PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,DP02,2010
DP02_0005E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,DP02,2010
DP02_0005M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,DP02,2010
DP02_0005PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,DP02,2010
DP02_0005PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,DP02,2010
DP02_0006E,"Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family",DP02,2010
DP02_0006M,"Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family",DP02,2010
DP02_0006PE,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family",DP02,2010
DP02_0006PM,"Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family",DP02,2010
DP02_0007E,"Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years",DP02,2010
DP02_0007M,"Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years",DP02,2010
DP02_0007PE,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years",DP02,2010
DP02_0007PM,"Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family!!With own children under 18 years",DP02,2010
DP02_0008E,"Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family",DP02,2010
DP02_0008M,"Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family",DP02,2010
DP02_0008PE,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family",DP02,2010
DP02_0008PM,"Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family",DP02,2010
DP02_0009E,"Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years",DP02,2010
DP02_0009M,"Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years",DP02,2010
DP02_0009PE,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years",DP02,2010
DP02_0009PM,"Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Female householder, no husband present, family!!With own children under 18 years",DP02,2010
DP02_0010E,Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households,DP02,2010
DP02_0010M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households,DP02,2010
DP02_0010PE,Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households,DP02,2010
DP02_0010PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households,DP02,2010
DP02_0011E,Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone,DP02,2010
DP02_0011M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone,DP02,2010
DP02_0011PE,Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone,DP02,2010
DP02_0011PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone,DP02,2010
DP02_0012E,Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over,DP02,2010
DP02_0012M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over,DP02,2010
DP02_0012PE,Percent!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over,DP02,2010
DP02_0012PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Nonfamily households!!Householder living alone!!65 years and over,DP02,2010
DP02_0013E,Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years,DP02,2010
DP02_0013M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years,DP02,2010
DP02_0013PE,Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years,DP02,2010
DP02_0013PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people under 18 years,DP02,2010
DP02_0014E,Estimate!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over,DP02,2010
DP02_0014M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over,DP02,2010
DP02_0014PE,Percent!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over,DP02,2010
DP02_0014PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Households with one or more people 65 years and over,DP02,2010
DP02_0015E,Estimate!!HOUSEHOLDS BY TYPE!!Average household size,DP02,2010
DP02_0015M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Average household size,DP02,2010
DP02_0015PE,Percent!!HOUSEHOLDS BY TYPE!!Average household size,DP02,2010
DP02_0015PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Average household size,DP02,2010
DP02_0016E,Estimate!!HOUSEHOLDS BY TYPE!!Average family size,DP02,2010
DP02_0016M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Average family size,DP02,2010
DP02_0016PE,Percent!!HOUSEHOLDS BY TYPE!!Average family size,DP02,2010
DP02_0016PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Average family size,DP02,2010
DP02_0017E,Estimate!!RELATIONSHIP!!Population in households,DP02,2010
DP02_0017M,Estimate Margin of Error!!RELATIONSHIP!!Population in households,DP02,2010
DP02_0017PE,Percent!!RELATIONSHIP!!Population in households,DP02,2010
DP02_0017PM,Percent Margin of Error!!RELATIONSHIP!!Population in households,DP02,2010
DP02_0018E,Estimate!!RELATIONSHIP!!Householder,DP02,2010
DP02_0018M,Estimate Margin of Error!!RELATIONSHIP!!Householder,DP02,2010
DP02_0018PE,Percent!!RELATIONSHIP!!Householder,DP02,2010
DP02_0018PM,Percent Margin of Error!!RELATIONSHIP!!Householder,DP02,2010
DP02_0019E,Estimate!!RELATIONSHIP!!Spouse,DP02,2010
DP02_0019M,Estimate Margin of Error!!RELATIONSHIP!!Spouse,DP02,2010
DP02_0019PE,Percent!!RELATIONSHIP!!Spouse,DP02,2010
DP02_0019PM,Percent Margin of Error!!RELATIONSHIP!!Spouse,DP02,2010
DP02_0020E,Estimate!!RELATIONSHIP!!Child,DP02,2010
