subfolder,name,info,present,absent,count_years,consistency,first_year,last_year,new_flag,discontinued_flag,status
DP02,DP02_0001E,Estimate!!HOUSEHOLDS BY TYPE!!Total households,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0001M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Total households,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0001PE,Percent!!HOUSEHOLDS BY TYPE!!Total households,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0001PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Total households,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0002E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families),"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0002M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families),"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0002PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families),"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0002PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families),"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0003E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0003M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0003PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0003PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!With own children under 18 years,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0004E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0004M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0004PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0004PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0005E,Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0005M,Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0005PE,Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0005PM,Percent Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Married-couple family!!With own children under 18 years,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0006E,"Estimate!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0006M,"Estimate Margin of Error!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
DP02,DP02_0006PE,"Percent!!HOUSEHOLDS BY TYPE!!Family households (families)!!Male householder, no wife present, family","2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",,14,consistent,2010,2023,NA,NA,present in all years
